agent,model,runtime,task,run_id,subcategory,reasoning
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_0,database_runtime_error,"Article endpoints crash with Postgres runtime errors because the code queries/inserts an articles.""tagList"" column that is not present in the initialized schema (""column \""tagList\"" does not exist""), causing 500s and cascading failures on dependent operations."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_2,business_logic_defect,"The DELETE /articles/:slug/favorite route exists and the server runs, but it returns 422 on unfavorite, indicating the unfavorite handler’s domain behavior (e.g., removing the favorite relation / handling already-unfavorited state) is implemented incorrectly rather than a routing, auth, or database runtime issue."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite-sequelize,run_2,incorrect_query_logic,"The only failing feature is filtering articles by `favorited=:username`, which points to the Sequelize query/associations used to select articles favorited by a given user being wrong or missing (e.g., not joining through the favorites table or filtering on the wrong field). Auth and routing work, but the data retrieval logic for the favorited filter does not match the spec, causing all related tests to fail."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres,run_0,state_propagation_failure,"The favorite/unfavorite handlers return hardcoded `favorited: false` (and likely don’t recompute/return the updated favorite state), so after POST /api/articles/:slug/favorite the response doesn’t reflect the mutation (favorited=true and updated favoritesCount), causing the Favorite Article POST behavioral test to fail despite routes/auth working."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres-sequelize,run_1,incorrect_query_logic,"The failing cases are all list/filter endpoints (GET /articles with author/tag/favorited variants) and profile lookups, while auth and basic CRUD work in manual checks. This points to incorrect Sequelize query construction for filtering/joining (e.g., author username, tag association, favorited-by join) and/or profile username lookup/validation, causing wrong results or 422s despite routes existing."
mini_swe_sdk,minimax-m2.5,node,express-openapi-sqlite,run_0,incorrect_query_logic,"The only failing behavior is filtering articles by `favorited=:username`, which indicates the SQL join/filter that maps favorites to the user who favorited (via favorites table + users lookup) is incorrect or missing. Auth and routing work (other endpoints including favoriting succeed), so the upstream root cause is the favorited-by-username query logic."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_0,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 even though the route exists. This framework-specific content-type/body parsing behavior breaks favoriting and cascades into favorited-by filtering test failures."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_1,framework_idiosyncrasy,"Fastify is attempting to parse an empty request body as JSON on POST /api/articles/:slug/favorite, triggering its content-type parser to throw ""Unexpected end of JSON input"" and return 500. The upstream issue is framework-specific request parsing configuration/handling for empty-body JSON requests on favorite/follow-style endpoints."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_2,framework_idiosyncrasy,"The primary failure is Fastify rejecting the empty request body on POST /api/articles/:slug/favorite with FST_ERR_CTP_EMPTY_JSON_BODY, meaning the route/content-type parsing is misconfigured to expect JSON for a bodyless endpoint. This framework-specific behavior causes the 400s and blocks favoriting-related test flows."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres,run_0,incorrect_query_logic,"Multiple GET /api/articles variants (author/tag/favorited filters) consistently return 500, indicating the article listing/filtering SQL/ORM logic is broken (e.g., incorrect joins/where clauses for these filters). The Fastify empty-JSON-body 400 on favorite is a separate framework quirk, but the dominant upstream cause of the failing suite is the incorrect article query/filter implementation."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres,run_2,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with Content-Type: application/json and an empty body (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 despite the route existing. This framework-specific behavior prevents favoriting from succeeding and cascades into failures for favorited-by filtering tests."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres-sequelize,run_0,framework_idiosyncrasy,"Fastify throws FST_ERR_CTP_EMPTY_JSON_BODY when a request sets Content-Type: application/json but has an empty body; the favorite endpoint is implemented in a way that triggers JSON body parsing/validation even though the spec/tests send an empty body, causing 400s and cascading favorited-article test failures."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres-sequelize,run_1,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with `Content-Type: application/json` and an empty body, causing POST /api/articles/:slug/favorite to return `FST_ERR_CTP_EMPTY_JSON_BODY` (400) even though the route exists. This upstream framework behavior breaks favoriting and cascades into favorited-by-username expectations."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres-sequelize,run_2,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json when the body is empty, throwing FST_ERR_CTP_EMPTY_JSON_BODY; the favorite endpoint is being hit with an empty JSON body by the tests, causing 400s and preventing favorites from being recorded, which then cascades into incorrect favorited-by-username listing results."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-sqlite,run_1,framework_idiosyncrasy,"Fastify rejects requests with Content-Type: application/json when the body is empty (FST_ERR_CTP_EMPTY_JSON_BODY), causing the RealWorld favorite endpoint (which sends no body) to fail with 400 despite correct routing. This upstream framework parsing/config issue drives the bulk of the observed failures."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-sqlite,run_2,framework_idiosyncrasy,"Fastify’s default JSON content-type parser rejects requests with Content-Type: application/json and an empty body (FST_ERR_CTP_EMPTY_JSON_BODY), causing POST /api/articles/:slug/favorite to return 400 even though the route exists and logic is otherwise fine. This framework-specific behavior breaks the test suite which sends an empty body for favorite/unfavorite."
