agent,model,granularity,group,n_constraints,pass_at_1,pass_at_3,pass_power_3,passed_assertions_perc,strict_assertions_perc,n_succeeded,n_executed
mini_swe_sdk,Kimi-K2.5,framework,aiohttp,,0.5833,0.7500,0.3981,0.8770,0.8770,7,12
mini_swe_sdk,Kimi-K2.5,framework,express,,0.5000,0.7500,0.3333,0.7529,0.7529,6,12
mini_swe_sdk,Kimi-K2.5,framework,fastapi,,0.4167,0.5000,0.3241,0.5302,0.5135,5,12
mini_swe_sdk,Kimi-K2.5,framework,fastify,,0.0000,0.0000,0.0000,0.5862,0.5862,0,12
mini_swe_sdk,Kimi-K2.5,framework,aiohttp,0,0.6667,1.0000,0.2963,0.7333,0.7333,2,3
mini_swe_sdk,Kimi-K2.5,framework,aiohttp,1,1.0000,1.0000,1.0000,1.0000,1.0000,3,3
mini_swe_sdk,Kimi-K2.5,framework,aiohttp,2,0.0000,0.0000,0.0000,0.9736,0.9736,0,3
mini_swe_sdk,Kimi-K2.5,framework,aiohttp,3,0.6667,1.0000,0.2963,0.8011,0.8011,2,3
mini_swe_sdk,Kimi-K2.5,framework,express,0,1.0000,1.0000,1.0000,1.0000,1.0000,3,3
mini_swe_sdk,Kimi-K2.5,framework,express,1,0.0000,0.0000,0.0000,0.4954,0.4954,0,3
mini_swe_sdk,Kimi-K2.5,framework,express,2,0.3333,1.0000,0.0370,0.8494,0.8494,1,3
mini_swe_sdk,Kimi-K2.5,framework,express,3,0.6667,1.0000,0.2963,0.6667,0.6667,2,3
mini_swe_sdk,Kimi-K2.5,framework,fastapi,0,1.0000,1.0000,1.0000,1.0000,1.0000,3,3
mini_swe_sdk,Kimi-K2.5,framework,fastapi,1,0.6667,1.0000,0.2963,0.7333,0.6667,2,3
mini_swe_sdk,Kimi-K2.5,framework,fastapi,2,0.0000,0.0000,0.0000,0.2000,0.2000,0,3
mini_swe_sdk,Kimi-K2.5,framework,fastapi,3,0.0000,0.0000,0.0000,0.1874,0.1874,0,3
mini_swe_sdk,Kimi-K2.5,framework,fastify,0,0.0000,0.0000,0.0000,0.6839,0.6839,0,3
mini_swe_sdk,Kimi-K2.5,framework,fastify,1,0.0000,0.0000,0.0000,0.6724,0.6724,0,3
mini_swe_sdk,Kimi-K2.5,framework,fastify,2,0.0000,0.0000,0.0000,0.4943,0.4943,0,3
mini_swe_sdk,Kimi-K2.5,framework,fastify,3,0.0000,0.0000,0.0000,0.4943,0.4943,0,3
mini_swe_sdk,Kimi-K2.5,runtime,node,,0.2500,0.3750,0.1667,0.6695,0.6695,6,24
mini_swe_sdk,Kimi-K2.5,runtime,uv,,0.5000,0.6250,0.3611,0.7036,0.6953,12,24
mini_swe_sdk,Kimi-K2.5,runtime,node,0,0.5000,0.5000,0.5000,0.8420,0.8420,3,6
mini_swe_sdk,Kimi-K2.5,runtime,node,1,0.0000,0.0000,0.0000,0.5839,0.5839,0,6
mini_swe_sdk,Kimi-K2.5,runtime,node,2,0.1667,0.5000,0.0185,0.6718,0.6718,1,6
mini_swe_sdk,Kimi-K2.5,runtime,node,3,0.3333,0.5000,0.1481,0.5805,0.5805,2,6
mini_swe_sdk,Kimi-K2.5,runtime,uv,0,0.8333,1.0000,0.6481,0.8667,0.8667,5,6
mini_swe_sdk,Kimi-K2.5,runtime,uv,1,0.8333,1.0000,0.6481,0.8667,0.8333,5,6
