agent,model,runtime,task,run_id,category,reasoning
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_0,logic_error,"The server starts and routes exist, but core article operations fail at runtime due to incorrect DB schema/queries: the code queries/inserts an `articles.tagList` column that was never created (Postgres error ""column \""tagList\"" does not exist""), causing 500s and cascading 422s. Additionally, user endpoints returning 404 indicate routing/handler logic mismatches rather than startup failure."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_1,server_startup_failure,"The evaluation environment cannot start the server because the startup script runs in /root where package.json and src/index.js are not found (ENOENT for /root/package.json and MODULE_NOT_FOUND for /root/src/index.js). With the server not running, all API tests fail due to connection/startup issues rather than endpoint logic."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres,run_2,logic_error,"The server starts and most endpoints work, but the Unfavorite Article DELETE test returns 422, indicating the endpoint exists yet the business logic/state handling for unfavoriting (e.g., removing the favorite relation, handling already-unfavorited cases, or auth/user resolution) is incorrect rather than missing routes or a schema-only mismatch."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres-sequelize,run_0,server_startup_failure,"The logs show npm cannot find /root/package.json and Node cannot find /root/src/index.js (MODULE_NOT_FOUND), so the server never starts in the test environment; this causes all API tests to fail due to startup/entrypoint/path issues rather than endpoint logic."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres-sequelize,run_1,server_startup_failure,"The server never starts in the evaluation environment because the startup script runs in /root where package.json and src/index.js are not found (ENOENT for /root/package.json and MODULE_NOT_FOUND for /root/src/index.js). This prevents any API requests from reaching the app, leading to widespread test failures."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-postgres-sequelize,run_2,server_startup_failure,"The server never starts in the evaluation environment: logs show npm cannot find /root/package.json and Node cannot find /root/src/index.js (MODULE_NOT_FOUND). This indicates a wrong working directory/entrypoint or missing project files at runtime, causing all API tests to fail due to connection/startup failure rather than endpoint logic."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite,run_0,server_startup_failure,"Although the agent locally exercised endpoints, the evaluation run shows the process emitting SQLITE_CANTOPEN (unable to open database file), indicating the backend cannot reliably initialize/open its SQLite DB in the test environment. This prevents requests from being handled correctly, leading to widespread test failures."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite,run_1,server_startup_failure,"The server process crashes due to an unhandled SQLite error (SQLITE_CANTOPEN: unable to open database file), so the API cannot reliably start and serve requests during tests. The widespread test failures are consistent with the backend not being up/accessible because the database file/path cannot be opened."
mini_swe_sdk,minimax-m2.5,node,express-openapi-clean_architecture-sqlite-sequelize,run_2,logic_error,"The server starts and endpoints exist, but the specific feature ""GET /api/articles?favorited=:username"" (with and without auth) fails all tests, indicating incorrect favorited-by-username filtering and/or favorited/favoritesCount computation rather than missing routes or response-shape issues."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres,run_0,logic_error,"The server starts and most endpoints work, but the Favorite Article POST test fails, indicating the endpoint exists yet behaves incorrectly (e.g., wrong auth handling, incorrect favoritesCount/favorited updates, or improper response after favoriting). This is a behavioral bug rather than missing routes or schema/format issues."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres,run_1,server_startup_failure,"The server never starts in the test environment: logs show npm cannot find /root/package.json and Node cannot find /root/index.js (MODULE_NOT_FOUND). This indicates the entry point/working directory or required files are not present where the runner expects, causing all API tests to fail due to startup/connection failure rather than endpoint logic."
mini_swe_sdk,minimax-m2.5,node,express-openapi-postgres-sequelize,run_1,logic_error,"The server starts and core endpoints respond, but multiple GET /articles variants and profile retrieval fail in tests, indicating incorrect request handling/business logic (e.g., filtering by author/tag/favorited, auth-dependent fields, or profile validation) rather than missing routes or startup issues."
mini_swe_sdk,minimax-m2.5,node,express-openapi-sqlite,run_0,logic_error,"The server starts and most endpoints work, but the specific feature ""GET /api/articles?favorited=:username"" (with and without auth) fails all tests, indicating incorrect favorited-by-username filtering/favorites join logic rather than missing routes or malformed JSON."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_0,logic_error,"The server starts and the favorite endpoints exist, but POST /api/articles/:slug/favorite returns 400 because Fastify rejects an empty JSON body when the client sets Content-Type: application/json. This is a behavioral/handling bug (route/content-type parsing) that breaks favoriting and downstream favorited-by filtering tests, not a missing endpoint or schema mismatch."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_1,logic_error,"The server starts and most endpoints return 200, but favoriting fails with a 500 due to a JSON parsing error (""Unexpected end of JSON input"") in the Fastify content-type parser when POSTing /favorite without a body. This indicates incorrect request handling/parsing logic (treating empty-body requests as JSON) rather than missing endpoints or schema mismatches."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture,run_2,logic_error,"The server starts and endpoints exist, but favoriting an article fails because Fastify rejects an empty JSON body (FST_ERR_CTP_EMPTY_JSON_BODY) on POST /api/articles/:slug/favorite, indicating the route is incorrectly configured to require/parse a JSON body for a bodyless request. The favorited-by query returns 200 but fails assertions, suggesting incorrect filtering logic for the `favorited` parameter."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres,run_0,logic_error,"The server starts and routes exist, but key article query behaviors are broken: multiple GET /api/articles variants return 500 (likely unhandled DB/query logic for filters like author/tag/favorited), and POST /favorite returns 400 because Fastify rejects an empty JSON body (the endpoint should accept no body or tolerate empty). These indicate incorrect request handling/query logic rather than missing endpoints or startup issues."
mini_swe_sdk,minimax-m2.5,node,fastify-openapi-clean_architecture-postgres,run_1,server_startup_failure,"The server does not start in the test environment: logs show npm cannot find /root/package.json and Node cannot find the entrypoint /root/src/index.js (MODULE_NOT_FOUND). With the backend not running, all API requests fail, matching the across-the-board test failures."
